No	Periode	Inflasi
222	Maret 2005	38,95833333
223	Februari 2005	30,20833333
224	Januari 2005	31,38888889
225	Desember 2004	25,27777778
226	November 2004	26,25
227	Oktober 2004	26,52777778
228	September 2004	26,875
229	Agustus 2004	29,65277778
230	Juli 2004	29,30555556
231	Juni 2004	30,76388889
232	Mei 2004	28,26388889
233	April 2004	27,22222222
234	Maret 2004	21,59722222
235	Februari 2004	17,08333333
236	Januari 2004	22,36111111
237	Desember 2003	21,94444444
238	November 2003	24,51388889
239	Oktober 2003	28,33333333
240	September 2003	27,29166667
241	Agustus 2003	28,54166667
242	Juli 2003	26,875
243	Juni 2003	31,80555556
244	Mei 2003	30,20833333
245	April 2003	33,47222222
246	Maret 2003	30,34722222
247	Februari 2003	29,58333333
248	Januari 2003	38,05555556
249	Desember 2002	0
